wavelength,Intensity
353.174,-0.62457
353.407,-0.45447
353.64,-0.3188
353.874,-0.15672
354.107,0.31856
354.34,0.06661
354.573,0.04541
354.806,-0.03275
355.039,0.34689
355.272,0.88066
355.505,1.13993
355.738,1.05863
355.971,1.2365
356.204,1.1908
356.437,1.333
356.67,1.73922
356.903,2.07521
357.136,2.08038
357.369,2.45094
357.602,2.6948
357.835,2.32937
358.068,2.42028
358.301,2.66363
358.534,3.05414
358.766,3.16547
358.999,3.05789
359.232,3.27652
359.465,3.21569
359.698,3.62158
359.931,3.19978
360.163,2.76746
360.396,2.29004
360.629,2.36632
360.862,2.45727
361.094,2.46753
361.327,2.44698
361.56,2.21318
361.793,2.31456
362.025,2.63911
362.258,2.54232
362.491,2.26831
362.723,2.78595
362.956,2.53226
363.189,2.19737
363.421,1.62408
363.654,1.20818
363.886,0.89373
364.119,0.98501
364.352,0.67565
364.584,0.21923
364.817,0.50322
365.049,0.60975
365.282,0.83288
365.514,0.7213
365.747,0.30545
365.979,0.49816
366.212,0.46269
366.444,0.29535
366.677,0.15337
366.909,-0.21173
367.141,-0.10509
367.374,-0.06455
367.606,0.08769
367.839,0.11303
368.071,0.44273
368.303,0.4782
368.536,1.01075
368.768,1.05637
369.0,0.97523
369.233,1.53315
369.465,1.38601
369.697,1.03605
369.93,1.20853
370.162,1.42664
370.394,1.62952
370.626,1.9237
370.859,1.78677
371.091,1.89327
371.323,1.95921
371.555,2.17732
371.787,2.17731
372.02,1.87803
372.252,2.24326
372.484,1.85267
372.716,1.87296
372.948,1.73093
373.18,1.84759
373.412,1.65989
373.644,1.72076
373.876,1.40118
374.108,1.01059
374.34,1.38089
374.573,1.73596
374.805,1.53308
375.037,1.28455
375.269,1.19831
375.501,1.44183
375.732,1.31503
375.964,1.09694
376.196,1.16794
376.428,1.30488
376.66,1.77663
376.892,1.55853
377.124,1.27953
377.356,1.63457
377.588,1.8577
377.82,1.90334
378.051,2.0758
378.283,1.60917
378.515,1.70046
378.747,2.11642
378.979,2.23816
379.21,2.33453
379.442,1.9034
379.674,1.99973
379.906,2.13667
380.137,2.6388
380.369,1.96415
380.601,1.9388
380.833,1.98444
381.064,2.2735
381.296,2.44589
381.528,1.89301
381.759,1.95896
381.991,2.26324
382.222,2.13646
382.454,2.20243
382.686,2.08068
382.917,1.98937
383.149,2.3647
383.38,2.92759
383.612,2.73485
383.843,2.98844
384.075,2.80584
384.306,3.12031
384.538,3.05945
384.769,3.28769
385.001,2.95801
385.232,3.02396
385.464,3.30292
385.695,3.54129
385.927,3.16094
386.158,2.98852
386.389,3.3892
386.621,3.59205
386.852,3.32834
387.083,3.69852
387.315,3.45507
387.546,3.16088
387.777,3.06959
388.009,2.79063
388.24,2.10094
388.471,2.30888
388.703,2.20238
388.934,2.05023
389.165,2.36977
389.396,2.4154
