wavelength,Intensity
353.174,0.60236
353.407,0.95306
353.64,1.15926
353.874,0.89324
354.107,0.97618
354.34,0.48113
354.573,0.65391
354.806,0.21413
355.039,0.16914
355.272,0.44361
355.505,0.43773
355.738,0.1479
355.971,0.2646
356.204,0.26443
356.437,0.23837
356.67,0.39099
356.903,0.564
357.136,0.65064
357.369,0.89457
357.602,1.09712
357.835,1.36658
358.068,1.30516
358.301,1.37547
358.534,1.65402
358.766,1.98924
358.999,1.89254
359.232,2.31452
359.465,2.30898
359.698,2.7968
359.931,2.70052
360.163,2.76576
360.396,2.63388
360.629,2.98928
360.862,3.11563
361.094,2.76558
361.327,2.42537
361.56,2.45573
361.793,2.46075
362.025,2.63826
362.258,2.58228
362.491,1.96328
362.723,1.71977
362.956,1.62334
363.189,1.18705
363.421,0.60869
363.654,0.09643
363.886,-0.08611
364.119,0.28913
364.352,0.11668
364.584,-0.16732
364.817,0.10654
365.049,0.0508
365.282,0.28915
365.514,0.11167
365.747,-0.48674
365.979,0.01529
366.212,0.20294
366.444,-0.0405
366.677,0.03052
366.909,-0.04552
367.141,0.35522
367.374,0.35005
367.606,0.34491
367.839,0.36013
368.071,0.79123
368.303,0.80134
368.536,1.1614
368.768,1.17147
369.0,0.60857
369.233,0.90278
369.465,0.74041
369.697,0.56291
369.93,0.45643
370.162,0.2992
370.394,0.43109
370.626,0.61874
370.859,0.28907
371.091,0.08619
371.323,0.06589
371.555,-0.34502
371.787,-0.23849
372.02,-0.77616
372.252,-0.29932
372.484,-0.1877
372.716,-0.17249
372.948,-0.55801
373.18,-0.58336
373.412,-0.45149
373.644,-0.03049
373.876,0.36005
374.108,0.21799
374.34,0.41584
374.573,0.70495
374.805,0.99916
375.037,0.79626
375.269,0.51727
375.501,0.97383
375.732,0.82674
375.964,0.89268
376.196,1.14123
376.428,1.66373
376.66,1.67896
376.892,1.50651
377.124,1.01446
377.356,1.10576
377.588,1.23254
377.82,1.67889
378.051,2.3078
378.283,1.98827
378.515,1.82089
378.747,1.44555
378.979,1.47598
379.21,1.51656
379.442,0.776
379.674,0.40062
379.906,0.46657
380.137,0.63397
380.369,0.59832
380.601,0.80122
380.833,0.84687
381.064,1.06494
381.296,0.9432
381.528,0.51713
381.759,0.54253
381.991,0.87731
382.222,0.94833
382.454,1.03458
382.686,0.76576
382.917,0.59835
383.149,0.9838
383.38,0.95338
383.612,1.0954
383.843,0.80123
384.075,0.90775
384.306,1.53164
384.538,1.80552
384.769,2.27215
385.001,2.49533
385.232,1.78532
385.464,2.02877
385.695,2.0237
385.927,1.92735
