wavelength,Intensity
353.174,-1.29327
353.407,-0.61702
353.64,-0.20117
353.874,-0.63866
354.107,-0.0845
354.34,-0.32753
354.573,0.04872
354.806,-0.32295
355.039,-0.27891
355.272,0.17175
355.505,0.53879
355.738,0.68131
355.971,0.70188
356.204,1.04759
356.437,1.02708
356.67,1.11836
356.903,1.01135
357.136,1.29614
357.369,1.64154
357.602,1.94144
357.835,2.31777
358.068,2.44954
358.301,2.38254
358.534,2.40725
358.766,2.72276
358.999,2.71144
359.232,2.75766
359.465,2.48801
359.698,3.03153
359.931,2.93511
360.163,2.50303
360.396,2.04572
360.629,2.08121
360.862,2.46685
361.094,2.12674
361.327,2.30917
361.56,2.11628
361.793,2.17707
362.025,2.12621
362.258,2.02447
362.491,1.81131
362.723,1.71483
362.956,1.31927
363.189,0.94385
363.421,0.55323
363.654,0.28954
363.886,-0.42554
364.119,0.14244
364.352,-0.01984
364.584,-0.31399
364.817,-0.07563
365.049,0.30982
365.282,0.36052
365.514,0.27431
365.747,-0.25819
365.979,-0.19229
366.212,-0.43568
366.444,-0.31904
366.677,-0.25307
366.909,0.07657
367.141,0.28968
367.374,0.5179
367.606,0.70054
367.839,0.86269
368.071,1.20757
368.303,1.26332
368.536,1.78065
368.768,1.73484
369.0,1.29873
369.233,1.53712
369.465,1.3697
369.697,1.39002
369.93,1.314
370.162,1.5321
370.394,1.7147
370.626,1.80089
370.859,1.72479
371.091,1.88202
371.323,1.63347
371.555,1.6284
371.787,1.21256
372.02,0.79154
372.252,0.67998
372.484,0.64951
372.716,1.00455
372.948,0.84223
373.18,0.75094
373.412,0.51252
373.644,0.87778
373.876,0.90821
374.108,0.41616
374.34,0.72558
374.573,0.72558
374.805,0.94877
375.037,0.86761
375.269,0.67992
375.501,1.09084
375.732,1.13651
375.964,1.05029
376.196,1.27348
376.428,1.21261
376.66,1.52205
376.892,1.58291
377.124,1.57782
377.356,1.1974
377.588,0.79165
377.82,1.11118
378.051,1.60317
378.283,1.5981
378.515,1.83647
378.747,1.83647
378.979,2.4705
379.21,2.50093
379.442,2.09517
379.674,1.61327
379.906,1.5727
380.137,1.88719
380.369,1.45602
380.601,1.24806
380.833,1.16184
381.064,1.1872
381.296,1.51684
381.528,0.96903
381.759,0.90817
381.991,0.94367
382.222,1.76531
382.454,1.6892
382.686,1.4001
382.917,1.08056
383.149,1.21243
383.38,1.43558
383.612,1.1769
383.843,1.06026
384.075,0.75592
384.306,1.07546
384.538,1.04502
384.769,1.29355
385.001,1.15659
385.232,1.30876
385.464,1.85147
385.695,1.89711
