wavelength,Intensity
434.696,867.43553
434.925,871.52317
435.154,875.58163
435.382,879.00166
435.611,884.23253
435.839,888.93932
436.068,893.38865
436.297,897.15125
436.525,898.24659
436.754,901.14186
436.982,904.56978
437.211,907.57974
437.439,912.14058
437.668,914.36874
437.896,918.49122
438.125,919.49115
438.353,924.94614
438.582,930.53423
438.81,933.17145
439.039,937.95059
439.267,942.51933
439.495,943.0048
439.724,948.85863
439.952,951.58022
440.18,953.99792
440.409,957.65163
440.637,964.92251
440.865,968.37586
441.094,972.32358
441.322,977.01453
441.55,982.75044
441.778,987.00214
442.007,995.64872
442.235,1000.28037
442.463,1005.34934
442.691,1013.30035
442.92,1018.7295
443.148,1024.94699
443.376,1031.53463
443.604,1037.42795
443.832,1046.51471
444.06,1053.13848
444.288,1058.74608
444.516,1065.87159
444.745,1073.98571
444.973,1084.27328
445.201,1093.5436
445.429,1101.25651
445.657,1109.67027
445.885,1118.03557
446.113,1126.8183
446.341,1135.62703
446.569,1143.80025
446.797,1156.58503
447.025,1165.22047
447.253,1174.40586
447.481,1181.03739
447.708,1190.1433
447.936,1198.71968
448.164,1209.08476
448.392,1221.66547
448.62,1233.7054
448.848,1245.38215
449.076,1257.51466
449.303,1267.85208
449.531,1278.80619
449.759,1291.52006
449.987,1304.87743
450.214,1319.09066
450.442,1334.43299
450.67,1346.46639
450.898,1357.6814
451.125,1369.1329
451.353,1382.56691
451.581,1395.8218
451.808,1410.15096
452.036,1420.06661
452.264,1433.5222
452.491,1446.3719
452.719,1455.22019
452.947,1467.09168
453.174,1483.7766
453.402,1500.25816
453.629,1515.33356
453.857,1528.43937
454.084,1540.1874
454.312,1555.04276
454.539,1574.64241
454.767,1585.30858
454.994,1598.18122
455.222,1617.7369
455.449,1632.78266
455.677,1644.34154
455.904,1658.87218
456.131,1670.42038
456.359,1678.18872
456.586,1692.53422
456.814,1704.24228
457.041,1722.18626
457.268,1742.64942
457.496,1764.53386
457.723,1781.95571
457.95,1806.55806
458.178,1819.39416
458.405,1826.2995
458.632,1843.43802
458.859,1865.37317
459.087,1878.54101
459.314,1892.10636
459.541,1904.69169
459.768,1915.62635
459.995,1927.44558
460.222,1931.7936
460.45,1928.7329
460.677,1941.17727
460.904,1957.12293
461.131,1964.57716
461.358,1975.72236
461.585,1993.9986
461.812,2000.99074
462.039,2007.03012
462.266,2014.22484
462.493,2022.85658
462.72,2030.54969
462.947,2045.1166
463.174,2059.55798
463.401,2066.66294
463.628,2076.22563
463.855,2074.81016
464.082,2077.92889
464.309,2094.3592
464.536,2107.43932
464.763,2120.13811
464.99,2121.58957
465.217,2134.59865
465.443,2147.8685
465.67,2150.54489
465.897,2164.07521
466.124,2174.2212
466.351,2191.90458
466.577,2201.47525
466.804,2203.19621
467.031,2205.8611
467.258,2212.0227
467.484,2229.34689
467.711,2243.15789
467.938,2254.18673
468.165,2269.28614
468.391,2278.59678
468.618,2291.46903
468.844,2302.5907
469.071,2314.79531
469.298,2328.33925
469.524,2346.5395
469.751,2360.74477
469.977,2373.50088
470.204,2382.98466
470.431,2393.99194
470.657,2409.65596
470.884,2424.32368
471.11,2443.92092
471.337,2459.22732
471.563,2478.50238
471.79,2499.26834
472.016,2516.17374
472.242,2536.21571
472.469,2552.03582
472.695,2571.46516
472.922,2591.90163
473.148,2613.41843
473.374,2637.71838
473.601,2660.06967
473.827,2686.71285
474.053,2706.92885
474.28,2731.27104
474.506,2754.84193
474.732,2783.12055
474.959,2816.44793
475.185,2837.75834
475.411,2865.39247
475.637,2888.88906
475.864,2914.02724
476.09,2938.64341
476.316,2965.52047
476.542,2995.83255
476.768,3026.84453
476.994,3058.64395
477.221,3084.07725
477.447,3103.0432
477.673,3138.61296
477.899,3165.27481
478.125,3203.69749
478.351,3239.77744
478.577,3265.92799
478.803,3294.20557
479.029,3326.46493
479.255,3359.68807
479.481,3392.45486
479.707,3428.20148
479.933,3463.33476
480.159,3503.95285
480.385,3538.67542
480.611,3573.63805
480.837,3612.65762
481.063,3657.84301
481.288,3700.1486
481.514,3743.24667
481.74,3784.19246
481.966,3820.80252
482.192,3862.96362
482.418,3901.76401
482.643,3939.21863
482.869,3981.29878
483.095,4020.13677
483.321,4050.15353
483.547,4089.47083
483.772,4132.51022
483.998,4164.93729
484.224,4198.06577
484.449,4244.27512
484.675,4283.31331
484.901,4337.35366
485.126,4381.28645
485.352,4426.34759
485.578,4470.03048
485.803,4519.16366
486.029,4567.44502
486.254,4611.06566
486.48,4653.01173
486.705,4697.9127
486.931,4731.12714
487.156,4770.59187
487.382,4813.12205
487.607,4856.54701
487.833,4901.54805
488.058,4947.04159
488.284,4988.68721
488.509,5018.95627
488.735,5061.77457
488.96,5113.72142
489.186,5158.2673
489.411,5208.95701
489.636,5260.33153
489.862,5289.23528
490.087,5326.87584
490.312,5367.28432
490.538,5395.4463
490.763,5434.98025
490.988,5475.007
491.213,5503.98432
491.439,5535.3392
491.664,5576.28602
491.889,5610.24478
492.114,5638.25809
