target,center_err,fwhm_err,smsr_err,rmse,center_exp,center_th,fwhm_exp,fwhm_th,smsr_exp,smsr_th
450.0,2.9091040352017647e-08,13.894708270522983,15.17214337961199,0.22435294321983995,4.88284e-07,4.591929596479824e-07,70.44441098903218,84.33911925955516,0.5335722499160362,15.705715629528026
500.0,5.778896744837266e-09,0.06325266230737725,3.015307792782279,0.07672823922413796,5.07844e-07,5.020651032551627e-07,62.73074919905969,62.794001861367065,8.545599597614057,11.560907390396336
550.0,2.7727927896394793e-08,0.36107645249683173,,0.07824931099384931,5.6917e-07,5.414420721036052e-07,86.01875660934923,85.6576801568524,,11.244971430566157
580.0,7.629972998651025e-10,5.665892267136087,,0.05308929253264573,5.808170000000001e-07,5.80054002700135e-07,93.28176797555273,87.61587570841664,,10.241184025764428
630.0,1.633327111355572e-08,,,0.04381005165847617,6.70911e-07,6.545777288864443e-07,,,15.473301617172055,
