wavelength,Intensity
353.174,-0.2279
353.407,0.13575
353.64,-0.01703
353.874,0.01234
354.107,0.23727
354.34,-0.00667
354.573,0.24311
354.806,0.11503
355.039,0.1297
355.272,0.27636
355.505,0.40904
355.738,0.1955
355.971,0.10395
356.204,0.0429
356.437,0.30202
356.67,0.10894
356.903,0.34243
357.136,0.18974
357.369,0.60154
357.602,0.75379
357.835,1.06412
358.068,1.25704
358.301,1.16
358.534,1.31249
358.766,1.37332
358.999,1.10903
359.232,1.12984
359.465,0.98724
359.698,1.33744
359.931,1.37796
360.163,1.04793
360.396,0.69766
360.629,0.50024
360.862,0.64232
361.094,0.62713
361.327,0.72306
361.56,1.13401
361.793,1.03224
362.025,1.33143
362.258,1.34637
362.491,1.12815
362.723,0.99624
362.956,0.75782
363.189,0.29631
363.421,0.18978
363.654,-0.07901
363.886,-0.22096
364.119,0.18477
364.352,0.35716
364.584,-0.17028
364.817,-0.17535
365.049,0.49918
365.282,0.57015
365.514,0.80343
365.747,0.80343
365.979,0.73241
366.212,0.23544
366.444,0.09349
366.677,0.00732
366.909,-0.27156
367.141,-0.29682
367.374,-0.30698
367.606,-0.03308
367.839,0.14947
368.071,0.52977
368.303,0.90001
368.536,1.62528
368.768,1.88897
369.0,1.51874
369.233,1.66592
369.465,1.70644
369.697,1.93977
369.93,1.58479
370.162,1.73695
370.394,2.06157
370.626,2.06159
370.859,2.36592
371.091,2.31011
371.323,2.0768
371.555,1.99564
371.787,2.08694
372.02,1.68112
372.252,1.75214
372.484,1.59488
372.716,1.52893
372.948,1.68111
373.18,1.03695
373.412,0.44857
373.644,0.55001
373.876,0.8087
374.108,0.08333
374.34,0.41304
374.573,0.26595
374.805,0.50437
375.037,0.49423
375.269,0.36741
375.501,0.68194
375.732,0.35732
375.964,0.52472
376.196,0.65153
376.428,0.70226
376.66,0.9914
376.892,1.28052
377.124,1.36674
377.356,1.48847
377.588,1.45296
377.82,1.11309
378.051,1.76233
378.283,1.90941
378.515,1.9804
