lambda,0,30,60,90,120,150
372.948,-0.95119,-0.51369,2.1744,3.4256,1.77917,-1.02976
373.18,-0.85595,-0.64226,2.12202,3.20179,1.68869,-1.02976
373.412,-1.06071,-0.87083,1.48393,2.6256,1.43631,-1.63929
373.644,-1.19405,-0.45655,1.49345,2.29702,1.00774,-1.825
373.876,-0.73214,-0.24702,1.26964,2.32083,0.96964,-1.77262
374.108,-0.43214,0.39107,1.68869,2.50655,1.81726,-1.3869
374.34,-0.36548,1.03869,1.68393,2.89226,2.28869,-1.01071
374.573,-0.08452,1.0244,1.82202,2.88274,2.06488,-1.13452
374.805,-0.14643,0.84345,1.6744,2.49702,1.98393,-1.5631
375.037,-0.35595,0.68631,1.56964,2.2256,1.81726,-1.49643
375.269,-0.37976,0.89107,2.10774,2.5875,2.0744,-1.46786
375.501,0.07738,1.15774,2.6506,2.7875,2.56012,-0.95357
375.732,-0.16071,1.08155,2.63631,2.71131,2.46964,-1.09167
375.964,0.2869,1.0625,2.24107,2.61607,2.51726,-1.10119
376.196,0.07262,1.38155,2.70298,2.63512,2.89345,-0.92976
376.428,-0.36071,1.20536,2.76012,2.49702,2.86012,-1.06786
376.66,-0.32262,1.11964,2.58393,2.08274,2.7744,-1.48214
376.892,-0.83214,0.98631,2.63155,2.69702,2.6506,-1.43452
377.124,-0.8131,0.87202,2.56964,2.66369,2.74583,-1.33929
377.356,-1.04167,0.9244,2.63155,2.73988,2.44107,-1.61548
377.588,-0.90833,1.14345,2.54583,2.41607,1.96964,-1.20595
377.82,-0.78929,0.86726,2.00298,2.47798,2.12202,-0.94405
378.051,-0.175,1.12917,2.4125,2.76845,2.36488,-0.44881
378.283,-0.26071,0.87202,2.54107,3.13988,2.30774,-0.24881
378.515,0.125,1.13393,2.9125,3.94464,3.01726,0.19405
378.747,-0.10833,1.24345,2.97917,3.9875,2.69345,0.22262
378.979,-0.5369,1.04345,2.62202,3.88274,2.23155,0.2131
379.21,-0.83214,0.9244,2.32202,3.60655,1.92679,0.175
379.442,-0.76071,0.93869,2.35536,3.90655,1.80298,0.36071
379.674,-1.13214,0.86726,2.30774,3.44464,1.23631,0.22262
379.906,-1.25119,0.78155,1.99345,3.49226,1.20774,0.17024
380.137,-0.875,0.94821,1.8506,3.38274,1.27917,0.23214
380.369,-1.04643,0.72917,1.6506,3.27798,1.06964,-0.10119
380.601,-0.6369,0.60536,2.03631,3.19226,1.03155,0.27024
380.833,-0.77976,0.71012,2.43155,3.15417,0.86964,0.475
381.064,-0.12262,0.77679,2.76012,3.78274,0.70298,0.475
381.296,0.25357,0.84345,2.93155,4.13512,0.92202,0.65595
381.528,0.37262,1.03869,2.71726,4.39702,0.94583,1.00833
381.759,0.65357,0.73393,2.40298,3.40179,0.66964,0.85119
381.991,0.76786,1.09107,2.59821,3.2256,0.70298,0.72262
382.222,1.00595,1.18631,2.79345,3.27321,1.31726,1.00357
382.454,0.75357,1.24821,2.81726,3.72083,1.39345,0.67976
382.686,0.54881,1.47679,3.14583,3.50179,0.99345,0.61786
382.917,-0.16071,1.09583,2.63155,3.22083,0.46488,0.10357
383.149,-0.00833,1.41488,2.98393,3.15893,0.88393,0.44643
383.38,-0.42738,0.76726,2.70774,2.26845,0.28869,0.42262
383.612,-0.075,0.95774,2.59345,2.05417,0.73631,0.74167
383.843,0.24881,0.85774,3.00774,2.30179,0.96488,0.76071
384.075,0.73929,0.68155,2.90774,2.14464,0.91726,0.64167
384.306,1.17738,1.04821,3.16964,2.37321,1.44583,1.18452
384.538,1.39167,1.18155,3.2744,2.62083,1.77917,1.55119
384.769,1.53929,1.33393,3.3744,2.5256,1.98393,1.8369
385.001,1.22024,0.97679,3.21726,2.60179,1.59821,1.60357
385.232,1.525,1.16726,3.34107,2.7494,1.76964,2.07024
385.464,1.47262,1.56726,2.9125,2.7494,1.63155,2.05595
385.695,1.65833,1.37202,2.50774,2.7875,1.94107,1.98929
385.927,1.44405,1.41488,2.04583,1.94464,1.9744,2.16071
386.158,1.13929,1.2244,1.9506,1.46369,1.82679,2.4369
386.389,1.37738,1.05298,1.96964,1.17798,1.86964,2.7369
386.621,1.54405,1.17202,2.32679,1.5494,2.14583,2.87024
