浓度(g/ml),角度(deg),K,K_err,lambda0(nm),lambda0_err,R2,波段起点(nm),波段终点(nm)
0.5,30,24147676.52918505,129161.0299509628,140.6298805230772,8.0125196445379,0.9897054214139184,610,685
0.5,150,18777027.00377302,191563.3308577028,173.9853100617898,13.93407150655058,0.9617969548995287,650,725
0.6,30,21733295.51358147,92787.26026452205,148.4840924035615,5.874547366066013,0.9939135961777196,600,675
0.6,90,21400122.69541023,271754.8207787626,138.2356133336748,9.309974399134402,0.9293962631975085,410,485
0.6,120,22001501.85410995,548110.5099570552,164.574102773372,17.49136690414573,0.8846751473263471,440,515
0.6,150,22429433.40907406,350180.4354248214,141.4627688461369,11.18987962332288,0.9471770031533926,410,485
