lambda,0,30,60,90,120,150
353.174,0.02841,-0.76136,0.0255700000000001,-0.51818,-0.26989,4.6358
353.407,-0.22917,-1.16667,-0.60625,-0.68334,-0.81459,3.33958
353.64,-0.29327,-0.88654,-0.74086,-0.97692,-0.7524,3.16587
353.874,-0.33393,-0.96786,-0.64911,-0.72857,-0.92768,2.58839
354.107,-0.6025,-0.865,-0.42292,-0.6,-1.15959,2.36791
354.34,-0.51875,-0.8,-0.425,-0.5,-0.94375,1.43125
354.573,-0.23309,-0.38971,-0.10331,-0.22941,-0.63566,0.98713
354.806,-0.12917,-0.40278,-0.20625,-0.35556,-0.56736,-0.05764
355.039,-0.0888100000000001,-0.26184,-0.02467,-0.6,-0.4694,-1.55033
355.272,0.0275000000000003,-0.215,-0.23125,-0.455,-0.34625,-2.97375
355.505,-0.04345,-0.13929,-0.57054,-0.57143,-0.59673,-4.66637
355.738,0.39465,0.11786,-0.40863,-0.42857,-0.18244,-6.45208
355.971,0.542269999999999,0.413100000000001,-0.38482,-0.35714,0.21756,-8.32827
356.204,0.62322,0.55119,-0.37529,-0.32381,0.37471,-11.04732
356.437,0.823210000000001,0.555950000000001,-0.42292,-0.495239999999999,0.155650000000001,-14.04256
356.67,1.05179,0.879759999999999,-0.61815,-0.38571,0.117560000000001,-17.1997
356.903,0.885120000000001,0.298810000000003,-0.722909999999999,-0.304759999999998,-0.0967199999999977,-20.60446
357.136,0.670829999999999,0.241669999999999,-0.603870000000001,-0.309520000000003,-0.215770000000003,-24.9997
357.369,0.932740000000003,0.379760000000001,-0.45149,-0.571429999999999,-0.282439999999998,-28.87589
357.602,0.913689999999999,0.360709999999997,-0.71339,-0.466670000000001,-0.63006,-33.32827
357.835,0.508929999999999,0.17024,-0.946729999999995,-0.366669999999999,-0.63006,-37.24256
358.068,0.723219999999998,0.608339999999998,-0.356250000000003,-0.0428500000000014,-0.301490000000001,-40.70922
358.301,0.970829999999999,0.970240000000004,0.191369999999999,0.114290000000004,0.174700000000001,-43.85684
358.534,0.670829999999995,0.627379999999995,0.0627899999999997,0.0333299999999994,-0.249110000000002,-48.4759
358.766,0.837499999999999,0.803579999999997,-0.00863000000000369,-0.128570000000003,-0.0919600000000003,-52.58065
358.999,1.2375,0.779769999999999,-0.246719999999996,-0.299999999999997,-0.115769999999998,-57.28065
359.232,1.05179,0.85595,-0.289580000000001,-0.18571,-0.334820000000001,-61.60446
359.465,0.970829999999999,0.813090000000003,-0.389589999999998,-0.0142900000000026,-0.387210000000003,-65.83304
359.698,0.75654999999999,0.841669999999993,-0.484819999999999,-0.371430000000004,-0.62530000000001,-69.97113
359.931,0.927970000000002,0.813090000000003,-0.43719999999999,-0.0619099999999975,-0.66816,-73.12351
360.163,0.637500000000003,0.455950000000001,-0.34196,-0.171430000000001,-0.925300000000007,-76.47589
360.396,0.637500000000003,0.398809999999997,0.0913699999999977,0.109520000000003,-0.691969999999998,-79.68542
360.629,0.327969999999993,0.65119,0.00565000000000282,0.14761,-0.825299999999999,-82.53304
360.862,0.266080000000002,0.90834000000001,0.177090000000007,0.35239,-0.825289999999995,-85.54256
361.094,0.0613099999999918,0.808329999999998,0.262789999999995,0.495229999999992,-1.03959,-87.90447
361.327,0.0374999999999943,1.19405,0.491370000000003,1.07143000000001,-0.791960000000003,-89.77113
361.56,-0.205359999999999,0.8369,0.615180000000009,1.22381,-1.03005999999999,-91.65208
361.793,-0.052970000000002,1.11785999999999,0.515180000000001,1.08571999999999,-1.01577,-93.81399
362.025,0.337500000000006,1.16071000000001,0.315179999999998,1.39047000000001,-1.1872,-95.16161
362.258,0.189889999999991,0.746429999999989,0.25327999999999,1.3381,-1.10625,-97.08065
362.491,0.223219999999998,0.679760000000002,0.338989999999995,1.18095,-1.22053,-98.2378
362.723,0.38036000000001,0.932150000000007,0.491370000000003,1.17143,-1.37290999999999,-99.63779
362.956,0.185119999999998,1.0369,0.329459999999997,0.966660000000005,-1.64911000000001,-102.29494
363.189,0.12321,1.0369,0.219940000000008,1.38571,-1.91101999999999,-103.44256
