lambda,0,30,60,90,120,150
353.174,-0.75682,-0.06364,-0.29261,-0.10227,0.3892,-0.0267
353.407,-0.93333,-0.43333,-0.72292,-0.45833,0.01875,-0.38125
353.64,-0.55962,-0.1,-0.54087,-0.04423,0.03606,-0.4351
353.874,-0.38214,0.10714,0.02946,0.13214,0.23661,-0.10982
354.107,0.03167,0.40667,0.40375,0.37833,0.21042,0.24542
354.34,-0.125,0.28125,0.3375,0.53125,0.1125,0.25
354.573,0.26029,0.46471,0.18493,0.50735,0.21434,0.52463
354.806,0.31389,0.27778,0.27153,0.45833,0.54931,0.60208
355.039,-0.05921,0.18947,-0.06151,0.23026,0.2227,0.15033
355.272,-0.19,0.175,-0.11125,-0.05,0.33375,0.18875
355.505,-0.65595,-0.16667,-0.55625,-0.45595,0.27708,-0.09077
355.738,-0.47024,-0.33333,-0.69435,-0.62262,-0.05149,-0.40982
355.971,-0.90833,-0.68095,-1.27054,-1.2131,-0.49911,-0.59554
356.204,-1.44643,-1.19524,-1.74673,-1.57024,-1.21339,-1.27173
356.437,-1.69405,-1.23333,-1.45625,-1.67024,-1.16577,-1.27649
356.67,-1.57976,-1.07143,-1.09435,-1.50833,-1.20387,-1.30982
356.903,-0.95119,-0.79524,-0.59435,-1.04643,-0.52768,-0.89077
357.136,-0.95595,-1.12857,-0.76577,-0.95595,-0.76577,-0.78601
357.369,-1.08452,-1.47619,-0.76101,-0.91786,-0.6372,-1.02411
357.602,-1.09405,-1.75238,-0.98958,-1.00357,-0.6372,-1.14792
357.835,-0.69881,-1.40952,-1.39911,-0.97976,-0.06577,-0.94315
358.068,-0.70357,-1.21905,-1.18006,-0.67024,0.02946,-0.76696
358.301,-0.64643,-0.93333,-0.58958,-0.19881,0.50089,-0.62887
358.534,-1.03214,-1.11905,-0.92768,-0.64167,0.65804,-0.75744
358.766,-1.21786,-1.28095,-1.34673,-0.85119,0.39137,-0.85268
358.999,-1.43214,-1.5,-1.4753,-0.91786,0.8247,-0.80506
359.232,-1.17024,-1.30476,-1.43244,-1.12738,1.03899,-0.87649
359.465,-1.7369,-1.43333,-1.32768,-1.24167,0.93899,-1.19077
359.698,-1.61786,-1.02857,-1.11339,-0.98929,1.09613,-1.1622
359.931,-1.29405,-1.14286,-0.8372,-0.66071,1.19137,-0.57173
360.163,-1.25595,-0.81429,-0.58006,-0.41786,1.23423,-0.4622
360.396,-1.31786,-0.56667,-0.53244,-0.1369,0.86756,-0.7003
360.629,-1.46071,-0.39524,-0.09435,0.325,1.19613,-0.34315
360.862,-1.23214,-0.30476,0.31518,0.60119,1.5247,-0.23839
361.094,-0.875,0.12381,0.73899,0.55833,2.01518,-0.11935
361.327,-0.8131,0.17619,0.91518,0.77738,2.15327,-0.21458
361.56,-0.88452,0.25714,0.93899,0.78214,2.26756,0.10923
