lambda,intensity
697.576,96.99732
697.787,97.05446
697.997,97.33065
698.208,97.64494
698.418,97.85446
698.629,98.20208
698.839,98.20208
699.05,98.09732
699.26,97.95446
699.47,97.76399
699.681,98.19732
699.891,98.36875
700.102,98.05923
700.312,97.79256
700.522,97.61161
700.733,97.70685
700.943,97.61637
701.153,97.81637
701.363,97.76875
701.574,97.89256
701.784,98.07351
701.994,97.81637
702.204,97.69732
702.414,97.59732
702.625,97.4497
702.835,97.29732
703.045,97.08304
703.255,97.17351
703.465,97.21161
703.675,97.45446
703.885,97.34018
704.095,96.8878
704.305,96.9878
704.515,97.04018
704.725,96.96399
704.935,97.25923
705.145,97.23542
705.355,97.32589
705.565,97.35923
705.775,97.24018
705.985,97.44018
706.195,97.32113
706.405,97.25446
706.614,97.36399
706.824,97.41161
707.034,97.30208
707.244,97.97827
707.454,97.73542
707.663,97.63542
707.873,97.44018
708.083,97.39256
708.292,97.29256
708.502,97.54018
708.712,97.28304
708.921,97.54018
709.131,97.73065
709.341,97.74018
709.55,97.72113
709.76,97.55923
709.969,97.20208
710.179,97.12113
710.388,96.80685
710.598,96.78304
710.807,96.72589
711.017,96.30685
711.226,96.19732
711.436,96.23542
711.645,95.8497
711.855,96.05446
712.064,95.80685
712.273,95.92589
712.483,95.9878
712.692,96.1878
712.901,96.00685
713.111,95.97351
713.32,95.75923
713.529,95.5878
713.739,95.40208
713.948,95.51161
714.157,95.50685
714.366,95.69732
714.575,95.57827
714.785,95.99256
714.994,95.89732
715.203,95.76875
715.412,95.9878
715.621,96.11637
715.83,95.97351
716.039,96.25446
716.248,96.04018
716.457,96.49256
716.666,96.5878
716.875,96.34494
717.084,96.10208
717.293,96.30685
717.502,96.37351
717.711,96.36399
717.92,96.59256
718.129,96.22589
718.338,95.67827
718.547,95.84494
718.755,95.9497
718.964,96.08304
719.173,95.72113
719.382,95.7497
719.591,95.91637
719.799,95.70208
720.008,95.56875
720.217,95.70685
720.425,95.32113
720.634,95.56399
720.843,95.29256
721.051,95.20208
721.26,95.38304
721.469,95.51637
721.677,95.45923
721.886,95.52589
722.094,95.52113
722.303,95.57827
722.511,96.14494
722.72,96.13542
722.928,96.30685
723.137,96.36399
723.345,96.57827
723.554,96.63542
723.762,96.54018
723.971,96.59256
724.179,96.85446
724.387,96.64494
724.596,96.59732
724.804,96.52113
725.012,96.44494
725.221,96.63542
725.429,96.71161
725.637,97.21637
725.845,97.60685
726.054,97.65923
726.262,97.59732
726.47,97.70685
726.678,97.49732
726.886,97.31637
727.095,97.68304
727.303,97.47827
727.511,97.15923
727.719,96.75923
727.927,96.71637
728.135,96.83542
728.343,96.75923
728.551,96.69732
728.759,96.95923
728.967,97.49256
729.175,97.65446
729.383,97.52589
729.591,97.47827
729.799,97.05446
730.007,96.63542
730.214,96.46399
730.422,96.34018
730.63,96.34494
730.838,96.31161
731.046,96.46399
731.254,96.85923
731.461,97.09732
731.669,96.7878
731.877,97.0878
732.085,97.62113
732.292,97.43065
732.5,97.25923
732.708,97.19256
732.915,97.19732
733.123,97.1878
733.331,96.80208
733.538,96.67351
733.746,96.7878
733.953,96.48304
734.161,96.62113
734.368,96.38304
734.576,96.17351
734.783,96.22589
734.991,95.9497
735.198,95.91161
735.406,95.83065
735.613,95.41637
735.821,95.40208
736.028,95.49732
736.235,95.42589
736.443,95.0878
736.65,95.39256
736.857,95.52589
737.065,95.32589
737.272,95.30685
737.479,95.33065
737.686,95.37351
737.894,95.41637
738.101,95.1878
738.308,95.55923
738.515,95.86399
738.722,96.17827
738.929,96.13542
739.137,95.85446
739.344,96.08304
739.551,96.09256
739.758,95.80208
739.965,95.8878
740.172,95.34494
740.379,95.34494
740.586,95.28304
740.793,95.45923
741.0,95.50685
741.207,95.57351
741.414,95.90685
741.621,96.03065
741.828,96.03542
742.034,95.90208
742.241,95.65923
742.448,95.73542
742.655,95.4497
742.862,94.96875
743.069,94.83542
743.275,94.79732
743.482,94.81637
743.689,94.6497
743.896,94.6878
744.102,94.92589
744.309,94.67351
744.516,95.07827
744.722,95.17827
744.929,95.30208
745.135,95.17351
745.342,95.40208
745.549,95.34494
745.755,95.27827
745.962,95.09256
746.168,95.1878
746.375,95.14018
746.581,95.41161
746.788,95.60208
746.994,95.61161
747.201,95.95923
747.407,95.71161
747.613,95.57351
747.82,95.4878
748.026,95.4878
748.232,95.38304
748.439,95.23065
748.645,95.42589
748.851,95.33542
749.058,95.30685
749.264,95.29732
749.47,95.3878
749.676,95.0497
749.883,95.10208
750.089,94.65923
750.295,94.60208
750.501,94.19256
750.707,94.00685
750.913,93.95446
751.119,93.49732
751.325,93.7878
751.531,93.7497
751.738,94.21637
751.944,94.5878
752.15,94.91637
752.356,95.12113
752.562,94.95923
752.767,95.24494
752.973,95.15446
753.179,95.26399
753.385,95.37351
753.591,95.69256
753.797,95.70208
754.003,95.81161
754.209,95.92113
754.414,96.53065
754.62,96.95446
754.826,97.24018
755.032,97.48304
755.237,97.48304
755.443,97.67351
755.649,97.49256
755.855,97.5497
756.06,97.39732
756.266,97.20685
756.472,97.16875
756.677,97.05446
756.883,97.16399
757.088,97.00208
757.294,96.83065
757.499,96.6497
757.705,96.73065
757.91,96.31161
758.116,96.13542
758.321,95.95446
758.527,95.62589
758.732,95.14494
758.938,94.92113
759.143,94.69732
759.348,94.89732
759.554,95.12113
759.759,95.2497
759.964,95.19732
760.17,94.94018
760.375,94.6878
760.58,94.90685
760.786,94.7878
760.991,94.61637
761.196,94.39732
761.401,94.35446
761.606,94.35446
761.812,94.75923
762.017,94.70208
762.222,94.55923
762.427,94.46875
762.632,94.48304
762.837,94.60208
763.042,95.11637
763.247,95.00685
763.452,95.18304
763.657,94.93542
763.862,94.61161
764.067,94.53065
764.272,94.5497
764.477,94.78304
764.682,94.72113
764.887,94.45446
765.092,94.9497
765.297,95.09256
765.501,95.49256
765.706,95.26399
765.911,95.51161
766.116,95.26875
766.321,95.28304
766.525,95.34494
766.73,95.66875
766.935,95.6878
767.14,95.80685
767.344,95.67351
767.549,95.66875
767.753,95.40208
767.958,95.2878
768.163,95.52589
768.367,95.52113
768.572,95.67351
768.776,95.57351
768.981,95.74018
769.185,95.67827
769.39,95.12113
769.594,95.01161
769.799,94.9878
770.003,94.95446
770.208,95.00208
770.412,94.87827
770.617,94.8497
770.821,94.79732
771.025,94.46875
771.23,94.5878
771.434,94.5497
771.638,94.30208
771.842,94.13065
772.047,94.44018
772.251,94.44018
772.455,94.22113
772.659,94.00685
772.864,93.73065
773.068,93.39732
773.272,93.1497
773.476,93.4497
773.68,93.75923
773.884,94.02113
774.088,94.04494
774.292,94.33065
774.496,94.09256
774.7,93.91637
774.904,93.81161
775.108,94.04494
775.312,94.30208
775.516,94.13542
775.72,94.00208
775.924,93.93542
776.128,94.2497
776.332,94.16875
776.536,94.51161
776.74,94.56399
776.944,94.58304
777.147,94.91637
777.351,95.35923
777.555,95.40685
777.759,95.51161
777.962,95.35446
778.166,95.2878
778.37,95.01161
778.573,94.98304
778.777,94.84018
778.981,94.72113
779.184,94.51637
779.388,94.23542
779.592,93.87827
779.795,93.82589
779.999,93.83065
780.202,94.07351
780.406,93.99732
780.609,93.96875
780.813,93.7878
781.016,94.05446
781.22,94.30685
781.423,93.92113
781.626,93.42589
781.83,93.6878
782.033,93.50685
782.237,93.44018
782.44,93.37351
782.643,93.61161
782.846,93.74018
783.05,94.00208
783.253,94.52589
783.456,94.87827
783.659,95.05923
783.863,95.10685
784.066,95.17827
784.269,95.29732
784.472,95.46399
784.675,95.00685
784.878,95.03542
785.082,94.88304
785.285,94.55446
785.488,94.51161
785.691,94.62589
785.894,94.96399
786.097,94.77351
786.3,94.89732
786.503,94.87351
786.706,94.88304
786.909,95.05446
787.111,94.99256
787.314,94.84494
787.517,94.66875
787.72,94.36875
787.923,94.27351
788.126,94.2878
788.328,94.19732
788.531,94.22589
788.734,93.60208
788.937,94.05446
789.14,93.79732
789.342,93.76875
789.545,94.17351
789.748,94.54018
789.95,94.75446
790.153,95.0878
790.355,95.28304
790.558,95.22113
790.761,95.25446
790.963,95.22589
791.166,95.15446
791.368,95.21637
791.571,95.41637
791.773,95.04494
791.976,95.22589
792.178,95.41161
792.381,95.32113
792.583,95.56875
792.785,95.35446
792.988,95.67351
793.19,95.63065
793.392,96.07827
793.595,96.13065
793.797,96.03542
793.999,95.66399
794.202,95.46399
794.404,95.19732
794.606,95.09732
794.808,94.93065
795.011,94.75923
795.213,94.70208
795.415,94.36875
795.617,94.0878
795.819,93.81637
796.021,94.23542
796.223,94.46399
796.425,94.3878
796.627,94.75446
796.829,94.57351
797.031,94.69732
797.233,94.87351
797.435,95.06875
797.637,94.91637
797.839,94.94494
798.041,94.80208
798.243,94.64494
798.445,94.60208
798.647,94.59375
798.849,94.65822
799.05,94.75208
799.252,94.95699
799.454,95.08125
799.656,95.30208
799.858,95.54018
800.059,95.86875
800.261,95.64375
800.463,95.30511
