lambda,intensity
434.925,98.26399
435.154,98.26399
435.382,98.42113
435.611,98.23542
435.839,98.12589
436.068,98.17827
436.297,98.50208
436.525,98.12589
436.754,98.53065
436.982,98.9497
437.211,99.19732
437.439,98.84018
437.668,98.6878
437.896,98.40208
438.125,98.58304
438.353,99.03065
438.582,98.88304
438.81,98.86399
439.039,98.80685
439.267,98.92113
439.495,99.11161
439.724,98.7878
439.952,98.70685
440.18,98.62589
440.409,98.65446
440.637,98.77827
440.865,98.95446
441.094,98.70685
441.322,98.92589
441.55,98.47351
441.778,98.74494
442.007,98.63065
442.235,98.72589
442.463,98.75446
442.691,99.18304
442.92,99.08304
443.148,98.77351
443.376,98.87827
443.604,99.11637
443.832,98.75923
444.06,98.3878
444.288,98.1878
444.516,98.4878
444.745,98.16399
444.973,98.27827
445.201,98.06399
445.429,98.00685
445.657,98.06875
445.885,98.13065
446.113,97.88304
446.341,98.19256
446.569,97.69256
446.797,97.7497
447.025,97.94494
447.253,97.95923
447.481,97.99732
447.708,97.97351
447.936,97.97351
448.164,97.75923
448.392,97.56399
448.62,97.72589
448.848,97.8878
449.076,98.11161
449.303,97.9497
449.531,98.30685
449.759,98.03542
449.987,98.12589
450.214,98.1878
450.442,97.99732
450.67,98.17351
450.898,98.35446
451.125,98.27827
451.353,97.99256
451.581,97.96399
451.808,98.12113
452.036,98.10685
452.264,97.77351
452.491,97.63065
452.719,97.56399
452.947,97.73065
453.174,97.75446
453.402,97.9878
453.629,98.05923
453.857,97.86875
454.084,97.82589
454.312,97.8878
454.539,98.32113
454.767,98.32113
454.994,98.24018
455.222,98.31161
455.449,98.24494
455.677,98.22589
455.904,98.1878
456.131,98.35446
456.359,98.47351
456.586,98.51161
456.814,98.5497
457.041,98.71637
457.268,98.67351
457.496,98.5878
457.723,98.44494
457.95,98.53065
458.178,98.36875
458.405,98.40685
458.632,98.38304
458.859,98.44018
459.087,98.49256
459.314,98.15446
459.541,98.32113
459.768,98.22113
459.995,98.07351
460.222,97.8878
460.45,97.85923
460.677,97.70685
460.904,97.57351
461.131,97.59732
461.358,97.3878
461.585,97.44018
461.812,97.15923
462.039,97.33065
462.266,97.39732
462.493,97.37351
462.72,97.27827
462.947,97.2878
463.174,97.27827
463.401,97.32589
463.628,97.29256
463.855,96.92113
464.082,97.25923
464.309,97.07827
464.536,97.2497
464.763,97.24494
464.99,97.62113
465.217,97.38304
465.443,97.67827
465.67,97.84018
465.897,97.9497
466.124,97.87827
466.351,97.33542
466.577,97.49732
466.804,97.15446
467.031,96.92113
467.258,96.81637
467.484,97.23542
467.711,97.14018
467.938,97.14494
468.165,97.41637
468.391,97.2497
468.618,97.51637
468.844,97.05923
469.071,97.10685
469.298,96.96399
469.524,96.72589
469.751,96.29732
469.977,96.66399
470.204,96.54494
470.431,96.57351
470.657,96.52113
470.884,96.53065
471.11,96.84494
471.337,96.75923
471.563,97.05923
471.79,97.15923
472.016,97.29732
472.242,96.95446
472.469,97.14018
472.695,96.83542
472.922,96.37827
473.148,96.46399
473.374,96.41637
473.601,96.58304
473.827,96.47827
474.053,96.57351
474.28,96.51637
474.506,96.39732
474.732,96.10685
474.959,96.13542
475.185,95.97827
475.411,95.59732
475.637,95.65923
475.864,95.86399
476.09,95.77827
476.316,95.61161
476.542,95.54494
476.768,95.47827
476.994,95.16399
477.221,94.98304
477.447,95.14494
477.673,95.07351
477.899,95.2878
478.125,95.05446
478.351,95.1878
478.577,95.45923
478.803,95.53542
479.029,95.97351
479.255,96.25923
479.481,96.43542
479.707,96.05446
479.933,95.88304
480.159,95.79732
480.385,95.70685
480.611,95.6497
480.837,95.86399
481.063,95.65446
481.288,95.83542
481.514,95.93065
481.74,96.26875
481.966,96.12589
482.192,95.92113
482.418,96.28304
482.643,96.1497
482.869,96.09732
483.095,95.85446
483.321,95.46875
483.547,95.24494
483.772,95.20685
483.998,95.30208
484.224,95.39256
484.449,95.7878
484.675,95.6497
484.901,96.00208
485.126,95.78304
485.352,95.50685
485.578,95.45923
485.803,95.67827
486.029,95.45923
486.254,95.35923
486.48,95.0497
486.705,95.43542
486.931,95.90685
487.156,95.84018
487.382,95.57827
487.607,95.72589
487.833,95.55923
488.058,95.52589
488.284,95.62113
488.509,95.52113
488.735,95.39256
488.96,95.3878
489.186,95.2497
489.411,95.54494
489.636,95.44494
489.862,95.89256
490.087,95.88304
490.312,95.77827
490.538,95.95446
490.763,95.85446
490.988,95.66875
491.213,95.7878
491.439,95.47827
491.664,95.07351
491.889,95.23065
492.114,95.59256
492.34,95.41637
492.565,95.6497
492.79,95.66399
493.015,95.81161
493.24,96.02589
493.465,95.98304
493.69,96.02589
493.915,96.25446
494.141,96.20685
494.366,96.27827
