lambda,0,30,60,90,120,150
353.174,-4.82045,-4.87216,-5.14489,-5.65739,-4.87898,-6.0608
353.407,-4.85,-4.43958,-5.03125,-5.13542,-4.76458,-5.65625
353.64,-4.41346,-4.29663,-4.71971,-4.66298,-4.32163,-4.87548
353.874,-3.78929,-3.86696,-3.67411,-3.83661,-3.62054,-3.99196
354.107,-2.995,-3.12792,-2.98125,-3.04042,-2.85958,-3.13958
354.34,-2.325,-2.3125,-2.29375,-2.1,-2.0375,-2.3875
354.573,-1.32794,-1.26949,-1.40478,-1.11728,-0.87096,-1.4886
354.806,0.025,-0.10903,-0.06458,-0.04375,0.09931,-0.10069
355.039,1.26711,1.1398,1.06086,1.31151,1.2148,1.20954
355.272,2.83,2.43375,2.34875,2.71625,2.57375,2.58375
355.505,4.24405,3.81399,3.93304,4.11577,3.95089,3.86042
355.738,6.41071,5.77589,6.00923,5.81577,5.8128,5.85089
355.971,8.41548,7.78065,8.08065,7.90149,7.7128,7.69851
356.204,10.74405,10.07113,10.24256,10.34435,10.11756,9.93661
356.437,13.13929,12.69018,13.10446,13.15387,12.6747,12.5747
356.67,16.47738,15.88542,16.22351,16.7872,16.05089,15.63185
356.903,19.8869,19.41875,19.54256,20.4872,19.24613,18.45565
357.136,23.55833,23.33304,23.07589,24.1253,23.14137,22.23661
357.369,26.97262,26.75685,26.68065,27.87768,26.50804,25.94613
357.602,31.025,30.27113,30.52827,31.81577,30.56994,30.06994
357.835,34.7631,34.18542,34.51399,36.15387,34.4128,34.09375
358.068,38.87262,38.17589,38.95685,40.51577,38.33185,38.48899
358.301,42.90119,41.9378,43.27589,44.5253,42.53185,42.52708
358.534,47.08214,46.04732,47.6997,48.97768,46.86042,46.31756
358.766,51.2869,49.98542,51.42827,53.04911,50.99851,50.1747
358.999,55.46786,54.09494,55.76161,57.27292,54.91756,54.14613
359.232,59.825,58.42351,60.14256,61.55387,59.2747,58.41756
359.465,63.73452,62.26637,64.08065,65.57768,63.34137,62.55565
359.698,67.98214,66.34732,68.06637,69.80149,67.85089,66.52708
359.931,71.5869,69.94732,71.79494,73.63482,71.48899,70.06994
360.163,74.80119,73.31399,75.33304,77.41101,75.19375,73.48423
360.396,78.28214,76.77589,78.78065,80.76815,78.68423,76.91756
