lambda,0,30,60,90,120,150
360.629,81.03452,79.85685,81.79494,84.32054,81.67946,80.15089
360.862,83.89643,82.71875,84.67589,87.31577,84.60804,83.32232
361.094,86.49643,85.34256,87.46161,90.06339,87.25089,86.09851
361.327,89.43452,87.77589,89.90446,92.81101,90.38899,88.82708
361.56,91.40119,89.69018,92.46637,94.77292,92.53661,91.08899
361.793,93.46786,91.82827,95.07589,97.0872,94.8128,93.75089
362.025,95.30595,93.16637,97.0997,99.02054,96.54137,95.39375
362.258,97.18214,94.96637,98.84256,100.74435,98.81756,97.05565
362.491,98.59167,96.54256,100.16637,102.39196,100.19375,98.43661
362.723,99.64881,97.75208,101.4997,103.54435,101.61756,99.95565
362.956,102.0631,100.48542,103.75208,105.87292,104.56518,102.21756
363.189,103.25833,101.77113,104.8997,107.14435,105.61756,103.4128
363.421,104.01071,102.61875,105.58065,107.69673,106.56042,104.29375
363.654,104.58214,103.69494,106.25685,108.36815,107.29375,104.82232
363.886,105.03452,104.14256,106.69494,109.03958,108.12232,105.2747
364.119,105.23929,103.98065,106.86161,109.21577,108.3128,105.56994
364.352,105.525,104.12351,107.07113,109.53958,108.2747,105.58899
364.584,104.8631,103.78065,106.97113,109.46339,107.66042,105.24613
364.817,104.71548,103.93304,106.88065,109.2872,107.89375,105.19375
365.049,104.72976,104.05685,106.91875,109.15387,107.73185,105.24137
365.282,104.57738,104.08542,106.74732,109.18244,107.73185,105.25089
365.514,104.16786,103.65208,106.65208,108.79673,107.86994,104.85089
365.747,103.82976,103.3997,106.37113,108.56339,108.06518,104.55089
365.979,103.6631,103.15685,105.92827,108.29673,107.8747,104.39375
366.212,103.0631,102.7997,105.51399,107.96815,107.47946,103.93661
366.444,102.64405,102.5997,104.9378,107.71577,107.05089,103.20804
366.677,102.17738,101.8378,104.02827,106.83006,106.58899,102.26994
366.909,101.90119,101.68542,103.38065,106.50625,106.09375,102.06042
367.141,101.4631,101.34732,102.92827,105.81101,105.67946,101.62708
367.374,100.75833,101.04256,102.77113,105.04911,105.18423,101.16042
367.606,100.60119,100.65208,102.21399,104.71101,104.67946,100.65089
367.839,99.03929,98.60923,100.56161,103.23958,102.73185,99.10804
368.071,98.48214,98.08065,99.89018,102.55863,102.15089,98.44613
368.303,97.7869,97.77589,99.7378,102.1872,101.56994,97.81756
368.536,97.4631,97.14732,99.5997,101.74435,100.81756,97.68423
368.768,97.03929,96.58542,98.88065,101.19673,100.48899,97.28899
369.0,96.77262,96.34732,98.42351,100.83958,100.18899,96.65089
369.233,96.42024,96.03304,98.35208,100.57768,99.90804,96.55565
369.465,96.31071,95.72351,97.85685,100.20149,99.97946,96.28899
369.697,96.09643,95.20923,97.79494,100.10625,99.74613,96.35089
369.93,95.70595,94.8378,97.7378,99.73006,99.34137,96.18899
370.162,95.4631,94.3378,97.35208,99.54911,98.93661,95.90804
370.394,95.47738,94.18065,96.98065,99.33482,98.60327,95.66994
370.626,95.29167,94.12827,96.88542,99.39196,98.18899,95.69851
370.859,95.04405,93.76161,97.10446,99.10625,97.84137,95.32232
371.091,94.71071,93.55685,96.97589,99.05863,97.38899,95.4128
371.323,94.5631,93.4997,96.81399,98.97292,97.49851,95.66042
371.555,94.31071,93.75685,96.86161,98.95387,97.22232,95.96518
371.787,94.00595,93.6378,96.99494,98.61577,97.19375,95.86518
372.02,93.99167,93.36637,96.91399,98.57768,97.08423,95.68899
372.252,94.18214,93.32827,96.55685,98.55863,97.30327,95.86042
372.484,94.25357,93.37113,96.5378,98.57768,97.3128,95.44137
372.716,94.27738,93.54732,96.70923,98.5253,97.38423,95.34137
372.948,94.28214,93.57589,96.77589,98.70625,97.44137,95.26042
373.18,94.61071,93.4997,96.51875,99.03006,97.43185,95.70804
373.412,94.51548,93.66161,96.38065,98.97292,97.76518,95.50327
373.644,94.54881,93.54732,96.79018,99.0253,97.70804,95.4128
373.876,94.35357,93.46161,97.04732,99.01577,97.54613,95.62232
374.108,94.45833,93.95208,96.94256,98.89196,97.96994,95.66994
374.34,94.36786,94.21399,97.47113,99.05863,97.9747,95.73185
374.573,94.50119,94.61875,97.60923,98.93958,98.19375,95.6747
374.805,94.64405,94.70446,97.57589,98.70625,98.3747,95.6747
375.037,94.62024,94.69494,97.8997,98.6872,98.50327,95.7747
375.269,94.70119,94.58065,97.8997,98.69673,98.56994,95.87946
375.501,94.67262,94.63304,98.04732,98.76339,98.62708,95.6747
375.732,94.58214,95.03304,98.07589,98.98244,98.82232,96.06994
375.964,94.80119,94.8378,98.14256,98.85863,99.0747,95.66994
376.196,95.18214,95.08065,97.9378,98.83958,99.03661,95.83661
376.428,95.32024,94.87113,97.94256,98.98244,99.34137,95.7128
376.66,95.20595,94.97113,98.01875,99.24911,99.45089,95.54613
376.892,95.34405,95.01875,98.59494,99.43482,99.29851,95.56518
377.124,95.35357,94.86161,98.80923,99.73958,99.44613,95.32708
377.356,95.32976,95.1997,98.92827,99.80149,99.5747,95.54613
377.588,95.34405,95.09018,98.88542,99.5872,99.69851,95.70327
377.82,95.59167,95.29018,98.86637,99.80149,100.19851,96.16042
378.051,95.60119,95.30446,98.99494,99.63006,100.16518,95.96994
378.283,95.65833,95.40923,98.94732,99.83958,100.27946,96.3747
378.515,95.63452,95.76637,98.80446,100.02054,100.22232,96.49851
378.747,95.61071,95.87113,98.7378,100.14435,100.37946,96.54613
378.979,95.42024,95.36637,98.58542,100.3872,100.03661,96.43185
379.21,95.88214,95.32827,98.19018,100.40625,100.17946,96.82708
379.442,96.1631,94.98542,98.10923,100.45863,100.06518,96.63661
379.674,96.49167,94.89494,98.07113,101.12054,100.26994,96.58899
379.906,96.525,95.00446,97.89494,101.10149,100.38899,96.39375
380.137,96.4631,95.27589,98.27589,101.18244,100.60327,96.29851
380.369,96.92024,95.5378,98.40446,101.14435,100.98423,96.69375
380.601,97.24881,95.58542,98.56637,101.34435,101.2747,96.7128
380.833,97.29167,96.17589,98.66161,101.63482,101.2747,97.06518
381.064,97.14881,96.22827,98.86637,102.0253,101.5128,97.03661
381.296,97.58214,96.58542,99.01875,102.14435,101.76042,97.24137
381.528,98.13929,96.53304,98.81399,102.07292,101.46518,97.46042
381.759,98.51548,97.32351,98.73304,102.63482,102.28423,97.71756
381.991,98.74881,97.6378,98.92827,102.84435,102.40327,97.72708
382.222,98.90119,97.19494,98.7378,102.92054,102.69375,97.90804
382.454,98.93452,97.3378,98.54256,103.06815,102.9747,97.80804
382.686,98.99167,97.06637,98.82827,102.64435,102.94613,97.62708
382.917,99.13929,97.2997,98.5997,102.58244,103.1128,97.98423
383.149,99.19167,97.12827,98.84256,102.82054,102.91756,97.65089
383.38,99.06786,97.26637,99.02827,102.93482,103.25565,98.02232
383.612,99.31548,97.3997,99.24732,103.1872,103.55089,98.02708
383.843,99.83929,97.70923,99.5997,103.46815,103.39375,98.11756
384.075,99.59167,97.98065,99.74732,103.56815,103.19851,97.66518
384.306,99.49643,98.27113,99.75685,103.59673,103.34613,97.95089
384.538,99.2631,98.34732,99.62827,103.50625,103.4128,97.99851
384.769,99.23929,98.41399,99.89494,103.93958,103.53661,98.11756
385.001,99.37262,98.36161,99.84256,104.19673,103.45089,98.44613
385.232,99.56786,98.2378,99.91399,104.25863,103.26518,98.50327
385.464,99.79167,98.49018,99.49018,104.02054,103.04137,98.30804
385.695,100.04405,98.40446,99.79494,104.13006,103.16042,98.55089
385.927,100.17262,98.76161,100.13304,104.09673,103.20804,98.85089
386.158,99.67738,98.67589,100.32351,104.71101,103.10804,98.56994
386.389,99.33929,98.90446,100.6997,105.09673,103.4747,98.65565
386.621,98.9631,98.25208,100.60923,104.83482,103.1128,98.42708
386.852,98.85357,98.05685,100.57589,105.05387,103.29375,98.70327
387.083,98.70595,98.46637,101.16161,105.26339,103.46518,98.72708
387.315,98.72024,98.61875,101.60446,105.54911,103.58899,98.84613
387.546,98.73452,99.27589,101.60923,105.96815,103.24137,99.04613
387.777,98.82976,99.44256,102.51399,106.43482,103.36518,98.94613
388.009,99.02976,99.70923,102.69018,106.55863,103.74137,99.22232
388.24,99.24405,100.02351,103.05208,106.90149,103.96518,99.33185
388.471,99.39643,100.27589,103.15685,107.34435,104.06042,99.74613
388.703,99.34405,100.39018,103.52351,107.58244,104.70804,99.70327
388.934,99.53452,100.31875,104.08542,107.96815,105.19851,100.09375
389.165,99.5631,100.77113,104.62351,108.63958,105.28423,100.09375
389.396,99.83452,101.35685,105.38542,109.17768,105.35089,100.47946
389.627,99.91071,101.78542,105.82351,109.38244,105.46518,100.80327
389.859,100.09167,102.25208,106.29018,110.03006,105.79851,101.05089
390.09,99.91071,102.67113,106.85685,110.61577,106.12232,101.1128
390.321,99.84881,102.51875,107.76161,111.44911,106.40804,101.44613
390.552,100.07738,102.95685,107.87589,111.83958,106.78423,101.32708
390.783,99.9631,102.90446,108.09018,112.38244,106.96042,101.26042
391.014,100.70595,103.40446,108.64732,112.35387,107.20327,101.88899
391.246,101.11071,103.65685,109.05208,112.73006,107.6747,101.86518
391.477,101.26786,103.7378,109.70446,113.24911,107.75565,102.11756
391.708,101.60595,104.62351,110.29494,113.39196,107.84137,102.19851
391.939,102.10119,105.2997,110.95685,113.9872,107.79375,102.38423
392.17,102.08214,105.76161,111.4378,114.43482,107.67946,102.60804
392.401,102.37738,105.80446,112.17113,115.37768,108.50327,102.81756
392.632,102.53452,106.06161,112.22351,115.74435,108.95089,102.89375
392.863,102.42024,106.20923,113.06637,116.63958,109.19375,103.05565
393.094,102.73452,106.50923,113.57589,116.89673,109.22708,103.13185
393.325,103.11071,106.9997,114.48065,117.43958,109.64137,102.99375
393.556,103.47262,107.47589,115.1997,117.78244,109.8747,103.04137
393.787,103.67262,108.15685,115.64732,118.29673,109.96994,103.06518
394.018,103.97738,108.55208,116.34256,118.7872,110.59851,103.6128
394.249,103.90595,108.69018,116.64256,118.92054,111.21756,103.38423
394.48,104.2631,109.14732,117.07113,119.86339,111.29851,103.54613
394.711,104.3869,109.88065,117.81399,120.33482,111.70804,103.26994
394.942,104.81548,110.40446,118.05685,120.94911,112.01756,103.32232
395.173,105.17738,111.12351,118.92827,121.56339,112.40804,102.89375
395.404,105.32976,111.49494,119.98542,122.01101,112.62708,102.82708
395.634,105.86786,111.98065,121.3378,122.5253,113.03185,102.90804
395.865,105.90119,112.48542,122.1997,122.97292,113.36518,102.88423
396.096,105.81071,113.08065,123.10923,123.52054,113.59851,103.08899
396.327,106.29643,113.80446,123.96161,123.86815,113.94137,103.06518
396.558,106.54881,114.07589,124.91875,124.73482,114.25089,103.1747
396.789,106.57738,114.48065,125.58542,125.27768,114.48423,103.04137
397.02,106.825,115.23304,126.82827,125.99196,114.93661,102.89851
397.25,107.05833,115.93304,127.78065,126.36815,114.76042,102.76518
397.481,107.3869,116.6378,128.76161,127.05863,114.90327,102.82232
397.712,107.99643,117.7378,129.38542,127.59196,115.1128,102.8128
397.943,108.39167,118.65685,130.34732,128.32054,115.26042,102.82232
398.173,108.52024,119.40446,131.00923,128.73482,115.47946,102.9128
398.404,108.73452,120.52351,132.12827,129.42054,115.73185,103.22708
398.635,108.91071,121.20923,133.45685,130.00625,116.4128,103.46518
398.865,109.43452,121.98065,134.57113,130.61101,116.30804,103.05089
399.096,110.19167,123.40446,136.00446,131.93482,116.38423,103.44613
399.327,110.61071,124.27113,136.88542,132.10149,116.98899,103.35089
399.558,111.27262,125.01875,138.14732,132.57768,117.08899,103.35089
399.788,111.48214,125.68065,139.40923,132.93006,117.09375,103.41756
400.019,111.74881,126.65208,140.2378,133.3253,117.22232,103.85089
400.249,112.1869,127.79018,141.1378,134.11577,117.23661,104.36518
400.48,113.00595,128.84732,142.21875,134.90149,117.44137,104.50327
400.711,113.75833,129.95685,142.86637,135.78244,117.53185,104.64613
400.941,114.49167,130.9997,143.79018,136.27292,117.47946,104.75089
401.172,114.99167,132.47113,145.12351,137.26815,117.64613,105.16518
401.402,115.49167,133.68542,146.31875,137.87768,117.48423,105.42232
401.633,116.09643,134.70446,147.59018,138.7253,118.0128,105.96994
401.863,116.72024,135.92827,148.48542,139.49673,118.28423,106.36994
402.094,117.39643,137.20446,149.4378,139.93006,118.60804,106.72708
402.324,118.16786,138.66161,150.57589,140.69196,118.6128,107.18899
402.555,118.6631,139.82827,152.1997,141.34435,118.9128,107.78423
402.785,119.02976,141.00923,153.33304,142.39196,119.50327,108.14613
403.016,119.72976,142.41399,154.64732,143.1253,119.38423,108.56042
403.246,120.42976,143.70446,155.81399,143.97768,119.45089,108.97946
403.477,121.40119,145.22351,156.9378,144.94911,119.18899,109.0128
403.707,122.09643,146.66161,158.00446,145.66815,119.53661,109.48899
403.938,122.74405,147.71875,159.10923,146.03006,119.66518,109.5128
404.168,123.53929,149.29494,160.85685,146.85387,119.76518,110.00327
404.398,124.13929,150.67589,162.03304,147.73006,119.63661,110.60804
404.629,125.10119,152.46637,163.70923,148.66339,120.05089,111.16518
404.859,126.16786,154.21399,165.35685,149.54435,120.1128,111.80327
405.09,127.03452,155.29494,167.14256,150.34435,120.39375,111.86994
405.32,127.67262,157.08542,168.28065,151.05387,120.5128,112.26994
405.55,128.30119,158.3997,170.11875,151.81577,120.67946,112.33661
405.781,129.3631,160.21399,171.93304,152.81577,121.10804,112.86042
406.011,130.24881,161.81875,173.15685,153.66339,121.22708,113.12708
406.241,131.43452,163.34256,174.7378,154.47768,121.80804,113.80327
406.471,132.45357,165.09018,176.44256,155.3872,121.80804,113.94613
406.702,133.76786,166.97113,178.40923,156.09673,121.87946,114.52232
406.932,134.89643,169.01399,179.95685,157.0872,122.12232,114.96518
407.162,135.71548,170.67589,181.77113,158.07292,122.32708,115.22232
407.392,136.84405,172.43304,183.25208,158.67768,122.30327,115.28423
407.623,138.1631,174.27589,185.05208,159.21101,122.51756,115.86994
407.853,139.36786,176.15208,186.99018,159.90149,122.72708,116.33661
408.083,140.3869,178.10446,189.01399,160.87292,122.83661,116.73661
408.313,141.4869,179.70923,190.36637,161.69196,122.95565,117.31756
408.543,142.625,181.68542,192.60923,162.86339,123.07946,117.78899
408.774,143.925,183.7378,194.6378,163.54435,123.00327,118.23185
409.004,145.51071,185.65208,196.15685,164.00149,122.99375,118.45089
409.234,147.09643,187.63304,198.30446,164.96815,123.63185,119.21756
409.464,148.4631,189.63304,200.08542,165.56815,123.50327,119.63661
409.694,149.525,191.52827,201.76161,165.91577,123.9128,119.80804
409.924,150.80119,193.8997,203.20923,166.64911,123.9128,120.38423
410.154,151.87262,195.65208,204.92351,167.64911,123.82708,121.18423
410.384,153.22024,197.91399,206.41399,168.34911,124.08423,122.06994
410.614,154.64881,199.69018,208.07113,169.18244,123.90327,122.36042
410.844,155.97738,201.63304,209.71875,169.66339,124.23661,123.25565
411.074,157.17738,203.75685,211.18065,170.2253,124.13185,123.85565
411.304,158.89643,205.98065,212.90923,170.64435,124.42232,124.74613
411.534,160.43929,207.93304,214.16161,171.37292,124.36518,125.01756
411.764,161.92024,209.69018,215.87113,172.25387,124.42232,125.42708
411.994,163.3869,211.66161,217.3997,172.69673,124.63185,126.10327
412.224,164.9869,213.83304,219.26161,173.55863,124.82232,126.66518
412.454,166.52024,215.9997,221.05685,174.03482,124.64613,127.3128
412.684,168.37262,218.15685,223.0378,174.64435,124.90327,128.13185
412.914,170.09167,219.97589,224.03304,174.87768,124.99851,128.76042
413.144,171.61071,221.55685,225.7378,175.45387,125.04137,129.33185
413.374,173.21548,223.70923,226.5997,175.68244,124.8747,130.12708
413.604,174.51548,225.5378,227.60923,175.98244,124.90804,131.14613
413.834,175.79167,227.44732,228.85685,176.63006,125.01756,132.12232
414.063,176.96786,229.61875,229.3378,176.58244,124.60327,132.56042
414.293,178.62976,231.39494,230.21875,177.15863,124.78899,133.36994
414.523,180.35357,233.21399,231.23304,178.02054,124.69375,134.47946
414.753,182.01548,235.35208,232.63304,178.06339,124.7747,135.25565
414.983,183.74405,237.75208,234.04256,177.86339,124.73661,136.05565
415.212,185.2631,239.85208,235.6378,178.03958,124.9747,137.12708
415.442,186.59643,242.38065,237.12351,177.94435,125.2747,138.26994
415.672,188.15833,244.15685,238.41399,178.1872,125.14613,138.82232
415.902,189.85357,246.39018,239.55208,178.72054,125.10327,139.83661
416.131,191.00119,248.41875,240.77113,178.53006,125.05089,140.62232
416.361,192.37262,250.09494,241.92827,178.74911,125.2747,141.72232
416.591,193.59643,251.99018,243.08065,178.79196,125.28423,142.99851
416.821,195.27738,254.29018,244.27113,179.11577,125.54137,144.06042
417.05,196.83929,256.4378,245.24256,179.36815,125.62232,145.33661
417.28,198.94881,258.66161,246.70923,179.73482,125.80327,146.54137
417.51,200.25357,260.71399,247.3378,179.83482,125.85565,147.65565
417.739,201.77738,262.57113,248.69018,179.72054,125.78423,148.82708
417.969,203.72024,265.32827,250.14732,179.70625,126.02232,150.42232
418.198,205.69167,266.85685,251.66637,179.63958,126.1128,151.50327
418.428,207.81071,269.32351,253.18065,179.79673,126.26518,153.04613
418.658,209.73929,271.29494,254.85685,179.62054,126.28899,154.39851
418.887,211.73929,273.17113,256.38065,179.83482,126.24613,155.57946
419.117,213.3869,275.49494,257.49494,179.62054,126.00327,156.69375
419.346,215.32976,278.11399,259.13304,179.24911,126.06042,157.7747
419.576,217.32024,280.25208,260.11399,179.89196,126.16518,159.33661
419.805,219.41071,281.7997,261.04732,179.88244,126.16042,160.35089
420.035,221.53929,284.09018,262.12351,179.85863,125.86518,161.58423
420.264,224.15357,286.31875,263.79018,180.28244,125.79851,163.08423
420.494,226.50595,289.12827,265.1378,180.42054,125.96994,164.90804
420.723,228.78214,291.3997,266.76161,180.13958,126.03661,166.1128
420.953,231.38214,293.71399,267.59018,180.47292,125.95089,167.62708
421.182,233.97262,296.85208,268.85685,180.31101,126.04613,169.24613
421.412,236.67738,299.41875,270.24732,180.34911,126.16994,170.99375
421.641,239.34405,301.85208,271.61399,180.13958,125.89851,172.93661
421.871,242.51071,304.74732,273.37113,180.11577,126.21756,175.24137
422.1,244.63929,307.20923,273.71875,180.09673,126.04137,176.54137
422.329,247.04881,309.80923,274.82827,180.26339,125.72708,177.96518
422.559,249.94405,313.25208,276.38065,180.64435,125.84137,179.8128
422.788,252.09643,315.72351,277.26637,180.58244,125.70804,181.19375
423.017,254.92024,318.78065,278.6997,180.93006,126.01756,183.37946
423.247,257.88214,321.17113,280.64732,181.06815,126.09375,185.04137
423.476,260.48214,324.30923,282.16637,181.64911,126.58423,187.03661
423.705,263.50119,327.49494,283.8378,181.80149,126.83185,189.52232
423.935,266.30595,330.54256,285.49018,182.24435,127.2128,191.75089
424.164,269.33452,333.55685,286.73304,182.69673,127.46994,194.13185
424.393,272.34405,337.04256,288.7378,182.91577,127.76994,196.22232
424.622,275.64881,340.92827,290.44732,183.50625,128.2128,198.66042
424.852,278.80119,344.16161,291.98542,183.6872,128.43185,200.73661
425.081,281.93929,347.15208,293.17113,183.60625,128.82232,203.28423
425.31,285.2631,350.16637,294.58542,183.8253,129.09375,205.63185
425.539,288.2869,353.76161,296.01875,184.19673,129.47946,208.41756
425.768,291.4631,357.10923,297.86637,184.49196,129.97946,210.99851
425.998,294.94405,360.45208,299.47589,184.72054,130.50804,213.75089
426.227,298.57262,364.21875,301.34256,184.74435,130.80804,216.35565
426.456,302.15357,368.06637,303.03304,184.93482,131.35565,218.87946
426.685,305.21548,371.0997,303.74732,184.72054,131.55565,220.79851
426.914,308.26786,374.26161,305.79018,184.58244,132.0747,223.58899
427.143,312.35357,378.33304,307.75208,184.82054,132.78899,226.66042
427.372,316.15357,382.12351,309.81875,184.75387,133.34137,229.64137
427.601,320.22976,386.07589,311.81399,184.90625,133.84137,232.95089
427.831,324.10595,390.11399,313.52351,184.7253,134.26042,236.05565
428.06,328.3631,394.27113,315.03304,185.30625,135.27946,239.32232
428.289,332.92976,398.67589,316.97589,185.26815,135.52232,242.38423
428.518,337.1631,402.68065,318.56637,185.07292,136.35089,245.31756
428.747,341.41548,406.7997,320.33304,185.04911,137.08899,248.34137
428.976,345.63452,411.14732,322.44256,185.0253,137.74613,251.2747
429.205,350.1631,414.95685,323.99018,184.87768,138.59375,255.20804
429.434,353.89643,418.47113,325.78542,184.93958,139.44137,258.81756
429.663,357.95357,421.96161,327.06637,184.8872,140.17946,262.34137
429.892,361.425,425.58065,328.16637,184.40149,140.75565,265.33185
430.12,365.4631,429.28065,330.07589,184.06339,141.72708,268.98423
430.349,369.69643,432.76637,331.84732,183.91101,142.54137,271.83661
430.578,374.55833,437.09494,333.61875,183.99196,143.26518,275.93185
430.807,378.8869,440.40446,335.2378,184.21577,143.74137,279.54613
431.036,383.21071,443.8997,336.31875,184.22054,144.58899,282.90804
431.265,387.425,447.35208,337.88065,184.30149,145.46518,286.54137
431.494,391.57738,451.31875,340.10923,184.31101,146.16042,290.67946
431.723,396.40119,455.53304,341.84732,184.11577,147.18899,294.42232
431.951,400.01071,458.0378,342.8997,183.97768,147.98423,297.74613
432.18,404.19167,460.82827,343.51399,183.8872,148.99851,301.34137
432.409,407.83929,463.83304,344.83304,183.31101,149.97946,304.9747
432.638,411.4869,466.99494,345.82827,183.1872,151.13661,308.66042
432.867,415.40119,470.82827,346.95208,183.00625,152.32232,312.2747
433.095,419.04405,473.25208,347.5997,182.60149,153.24613,316.35565
433.324,422.98214,476.22351,348.64732,182.63482,154.06518,320.16994
433.553,426.97262,478.91399,349.68542,181.99196,154.90327,323.95089
433.782,430.69643,481.02351,350.47113,181.7253,155.73661,328.24613
434.01,434.25833,483.74256,351.53304,180.74435,156.46042,331.66518
434.239,438.47262,486.64256,352.01399,180.19673,157.46994,335.36994
434.468,442.47262,489.89018,353.11875,179.86815,158.79851,338.86518
434.696,446.27262,492.99018,353.48065,179.88244,160.30804,342.64613
434.925,449.97738,495.66161,353.47589,179.69196,161.13185,346.18423
435.154,453.97738,498.20446,354.03304,178.94435,162.46994,350.06042
435.382,456.57738,499.94256,353.89018,178.19196,163.33661,353.02232
435.611,459.70595,502.09494,354.13304,177.31577,164.60804,356.74137
435.839,463.12024,504.61399,354.67589,176.79673,165.59375,360.56042
436.068,465.79167,506.42827,354.47589,175.88244,166.96518,363.43185
436.297,469.5631,508.71399,354.36637,175.09196,168.54137,366.73661
436.525,473.00595,510.38542,354.00446,174.57768,169.76994,370.34613
436.754,476.825,513.0997,354.28065,173.91101,171.53661,374.22708
436.982,480.01071,514.95685,353.94732,173.65863,172.92708,377.94137
437.211,484.10119,517.9378,354.17589,173.20149,175.0747,381.89851
437.439,487.54405,520.22827,354.45208,172.55387,176.25565,385.53661
437.668,490.62024,521.2378,353.71399,171.64435,177.12232,389.02708
437.896,494.04405,523.22827,353.0997,171.28244,178.74613,392.55089
438.125,497.725,525.54256,352.70923,170.70625,180.54137,396.29375
438.353,500.91548,527.68065,352.69494,170.84435,181.89851,400.2128
438.582,504.04881,529.60446,352.44732,170.54435,183.49375,404.1747
438.81,507.15357,531.35685,351.72827,170.23006,185.30327,407.60804
439.039,510.21071,532.99494,351.86161,169.81101,186.84613,411.13185
439.267,514.03452,535.32827,351.9997,169.67768,188.32232,415.63185
439.495,517.7869,537.65685,352.25208,169.11577,189.88899,419.79851
439.724,521.73929,540.01875,352.66161,168.66815,191.78423,423.78423
439.952,525.76786,542.4378,352.41399,168.55387,193.36518,428.04613
440.18,529.81071,544.51399,352.48065,168.16815,195.41756,432.30804
440.409,534.04405,547.27113,352.75208,167.69196,197.13185,437.0747
440.637,538.125,549.59494,352.78542,166.99673,199.23185,441.1747
440.865,542.64881,552.54732,352.86161,166.61101,200.69375,447.11756
441.094,546.27262,554.49018,352.70923,166.44435,202.46042,451.66042
441.322,550.11548,556.83304,353.25685,165.95387,204.3128,456.46042
441.55,554.4631,558.89494,352.99494,165.36815,206.15565,461.24613
441.778,559.59643,562.38542,353.77113,165.07292,208.68899,466.59375
442.007,564.18214,564.84732,353.52351,164.74435,210.19375,471.90327
442.235,568.99167,567.32351,353.27589,164.53958,212.28899,476.86042
442.463,573.32976,570.06161,353.42827,163.98244,214.73661,482.16042
442.691,577.81548,573.11875,353.70446,163.3253,217.04137,487.34613
442.92,581.9869,575.56161,354.07589,162.96339,219.26994,492.84613
443.148,587.10119,577.64256,354.11875,161.99673,221.95565,498.12708
443.376,592.6631,581.26637,354.40446,161.0253,224.38899,503.84137
443.604,598.27738,584.65208,355.10446,160.8253,226.66042,510.55089
443.832,604.69167,588.99494,355.48542,160.39673,229.30327,517.42708
444.06,610.03929,592.12827,355.56637,159.68244,231.89375,523.84137
444.288,615.47262,594.76161,355.94256,159.43006,234.37946,529.8747
444.516,621.32976,598.31875,356.24732,159.16339,237.06042,536.88899
444.745,626.74881,601.40923,356.64256,158.57768,239.81756,543.80327
444.973,633.25833,605.41875,357.49494,158.5253,243.0128,551.04613
445.201,639.23452,609.34256,358.05208,158.6253,245.92708,557.40327
445.429,644.90119,612.75685,358.14732,158.55387,248.74613,564.56518
445.657,651.32024,616.64256,358.78542,158.2872,251.83661,571.06994
445.885,657.73452,620.97113,359.4997,158.22054,255.06994,578.73661
446.113,664.54881,625.01875,359.78065,158.01101,258.53661,585.85565
446.341,670.45833,629.17113,360.56637,157.94911,261.89375,593.09375
446.569,676.40119,632.66637,360.7378,157.61101,264.95089,600.25565
446.797,682.72976,636.05685,360.76637,157.66339,268.38423,607.18423
447.025,689.63452,639.71399,361.44256,157.35387,271.90804,615.25565
447.253,697.44405,645.01875,362.40446,157.34911,276.16518,624.13185
447.481,704.76786,649.89018,363.24732,157.46339,279.79851,632.95089
