wavelength_nm,intensity
400.0,30251923001.205257
400.17508754377184,30356136920.343647
400.3501750875438,30460589078.444275
400.5252626313156,30565279637.328293
400.7003501750875,30670208757.990326
400.8754377188594,30775376600.597282
401.0505252626313,30880783324.48729
401.22561280640315,30986429088.169212
401.40070035017504,31092314049.321686
401.575787893947,31198438364.79148
401.75087543771883,31304802190.59364
401.9259629814907,31411405681.910114
402.1010505252626,31518248993.088654
402.2761380690345,31625332277.642548
402.45122561280635,31732655688.249043
402.6263131565783,31840219376.749382
402.80140070035014,31948023494.14694
402.97648824412204,32056068190.607166
403.1515757878939,32164353615.45655
403.3266633316658,32272879917.181667
403.5017508754377,32381647243.42855
403.67683841920956,32490655741.00167
403.8519259629815,32599905555.86343
404.02701350675335,32709396833.132996
404.20210105052524,32819129717.086025
404.37718859429714,32929104351.15347
404.55227613806903,33039320877.920982
404.72736368184087,33149779439.12812
404.9024512256128,33260480175.667736
405.07753876938466,33371423227.584976
405.25262631315655,33482608734.076843
405.42771385692845,33594036833.49119
405.60280140070034,33705707663.32629
405.77788894447224,33817621360.22995
405.9529764882441,33929778059.998863
406.128064032016,34042177897.5779
406.30315157578787,34154821007.059364
406.47823911955976,34267707521.682404
406.65332666333165,34380837573.83247
406.82841420710355,34494211295.04046
407.0035017508754,34607828815.98194
407.17858929464734,34721690266.47698
407.3536768384192,34835795775.48898
407.52876438219107,34950145471.12431
407.70385192596297,35064739480.631996
407.87893946973486,35179577930.4022
408.05402701350675,35294660945.9667
408.2291145572786,35409988651.99747
408.40420210105054,35525561172.306496
408.5792896448224,35641378629.845375
408.7543771885943,35757441146.70382
408.92946473236617,35873748844.11044
409.10455227613807,35990301842.431114
409.2796398199099,36107100261.16881
409.4547273636818,36224144218.96317
409.62981490745375,36341433833.5898
409.8049024512256,36458969221.959625
409.9799899949975,36576750500.119
410.1550775387694,36694777783.24809
410.33016508254127,36813051185.66153
410.5052526263131,36931570820.80719
410.68034017008506,37050336801.26576
410.8554277138569,37169349238.75084
411.0305152576288,37288608244.10747
411.2056028014007,37408113927.312805
411.3806903451726,37527866397.47453
411.5557778889445,37647865762.83137
411.7308654327163,37768112130.752014
411.90595297648827,37888605607.73494
412.0810405202601,38009346299.40817
412.256128064032,38130334310.52802
412.4312156078039,38251569744.98013
412.6063031515758,38373052705.777565
412.7813906953476,38494783295.06125
412.9564782391196,38616761614.09952
413.1315657828914,38738987763.28738
413.3066533266633,38861461842.14666
413.4817408704352,38984183949.325096
413.6568284142071,39107154182.596504
413.831915957979,39230372638.8596
414.00700350175083,39353839414.13898
414.1820910455228,39477554603.58327
414.3571785892946,39601518301.46597
414.5322661330665,39725730601.18435
414.7073536768384,39850191595.26003
414.8824412206103,39974901375.33734
415.05752876438214,40099860032.18447
415.2326163081541,40225067655.692055
415.40770385192593,40350524334.873474
415.5827913956978,40476230157.864426
415.7578789394697,40602185211.92279
415.9329664832416,40728389583.427986
416.1080540270135,40854843357.88093
416.28314157078535,40981546619.904076
416.4582291145573,41108499453.24061
416.63331665832914,41235701940.75484
416.80840420210103,41363154164.43125
416.9834917458729,41490856205.37503
417.1585792896448,41618808143.81113
417.33366683341666,41747010059.0846
417.50875437718855,41875462029.66053
417.6838419209605,42004164133.12289
417.85892946473234,42133116446.17547
418.03401700850424,42262319044.64097
418.20910455227613,42391772003.461296
418.384192096048,42521475396.6971
418.55927963981986,42651429297.52751
418.7343671835918,42781633778.25039
418.90945472736365,42912088910.28206
419.08454227113555,43042794764.15679
419.25962981490744,43173751409.52729
419.43471735867934,43304958915.16396
419.60980490245123,43436417348.95515
419.78489244622307,43568126777.90745
419.959979989995,43700087268.14428
420.13506753376686,43832298884.9073
420.31015507753875,43964761692.5554
420.48524262131065,44097475754.56493
420.66033016508254,44230441133.52975
420.8354177088544,44363657891.16056
421.01050525262633,44497126088.285774
421.18559279639817,44630845784.850685
421.36068034017006,44764817039.91773
421.53576788394196,44899039911.666504
421.71085542771385,45033514457.3937
421.88594297148575,45168240733.51306
422.0610305152576,45303218795.55497
422.23611805902954,45438448698.16746
422.4112056028014,45573930495.11502
422.58629314657327,45709664239.279335
422.76138069034516,45845649982.659294
422.93646823411706,45981887776.370636
423.1115557778889,46118377670.645905
423.28664332166085,46255119714.835464
423.4617308654327,46392113957.40598
423.6368184092046,46529360445.94193
423.8119059529765,46666859227.144585
423.98699349674837,46804610346.83274
424.16208104052026,46942613849.94266
424.3371685842921,47080869780.52743
424.51225612806405,47219378181.75858
424.6873436718359,47358139095.92438
424.8624312156078,47497152564.43116
425.0375187593797,47636418627.80309
425.2126063031516,47775937325.68185
425.3876938469234,47915708696.827675
425.5627813906953,48055732779.118416
425.73786893446726,48196009609.55047
425.9129564782391,48336539224.23835
426.088044022011,48477321658.41528
426.2631315657829,48618356946.4331
426.4382191095548,48759645121.76234
426.6133066533266,48901186216.992546
426.78839419709857,49042980263.83245
426.9634817408704,49185027293.1102
427.1385692846423,49327327334.772804
427.3136568284142,49469880417.88799
427.4887443721861,49612686570.64206
427.663831915958,49755745820.34242
427.8389194597298,49899058193.41612
428.0140070035018,50042623715.4111
428.1890945472736,50186442410.995346
428.3641820910455,50330514303.958336
428.5392696348174,50474839417.21037
428.7143571785893,50619417772.78328
428.88944472236113,50764249391.83022
429.0645322661331,50909334294.62645
429.2396198099049,51054672500.569145
429.4147073536768,51200264028.177925
429.58979489744866,51346108895.09519
429.7648824412206,51492207118.08576
429.9399699849925,51638558713.03816
430.11505752876434,51785163694.96407
430.2901450725363,51932022077.99895
430.4652326163081,52079133875.40248
430.64032016008,52226499099.55821
430.8154077038519,52374117761.97521
430.9904952476238,52521989873.28666
431.16558279139565,52670115443.251396
431.3406703351676,52818494480.753975
431.51575787893944,52967126993.80459
431.69084542271133,53116012989.54024
431.86593296648323,53265152474.22414
432.0410205102551,53414545453.246544
432.216108054027,53564191931.125175
432.39119559779886,53714091911.50553
432.5662831415708,53864245397.16101
432.74137068534264,54014652389.99373
432.91645822911454,54165312891.03418
433.09154577288643,54316226900.44285
433.26663331665833,54467394417.50912
433.44172086043017,54618815440.65273
433.61680840420206,54770489967.42379
433.79189594797396,54922417994.50339
433.96698349174585,55074599517.703735
434.14207103551774,55227034531.96856
434.31715857928964,55379723031.37435
434.49224612306153,55532665009.12921
434.6673336668334,55685860457.575096
434.8424212106053,55839309368.18692
435.01750875437716,55993011731.57341
435.19259629814906,56146967537.478065
435.36768384192095,56301176774.77901
435.54277138569284,56455639431.4895
435.7178589294647,56610355494.758446
435.89294647323663,56765324950.871666
436.06803401700853,56920547785.25101
436.24312156078037,57076023982.455734
436.41820910455226,57231753526.182724
436.59329664832416,57387736399.26764
436.76838419209605,57543972583.68408
436.9434717358679,57700462060.54545
437.11855927963984,57857204810.10457
437.2936468234117,58014200811.75475
437.4687343671836,58171450044.03016
437.6438219109554,58328952484.60608
437.81890945472736,58486708110.30022
437.99399699849926,58644716897.07185
438.1690845422711,58802978820.02412
438.34417208604305,58961493853.40326
438.5192596298149,59120261970.59969
438.6943471735868,59279283144.148735
438.8694347173587,59438557345.73078
439.04452226113057,59598084546.17208
439.2196098049024,59757864715.44516
439.39469734867436,59917897822.670074
439.5697848924462,60078183836.114136
439.7448724362181,60238722723.19282
439.91995997999,60399514450.470825
440.0950475237619,60560558983.661514
440.2701350675338,60721856287.629395
440.4452226113056,60883406326.388565
440.62031015507756,61045209063.10543
