c_g/ml,theta_deg,lambda_start_nm,lambda_end_nm,K,K_err,lambda0_nm,lambda0_err_nm,K_err/K_theo,lambda0_err/lambda_theo,R2
0.5,30,610,685,24147676.52918505,129161.0299509628,140.6298805230772,8.0125196445379,0.0059,0.0548,0.9897054214139184
0.5,150,650,725,18777027.00377302,191563.3308577028,173.9853100617898,13.93407150655058,0.0088,0.0952,0.9617969548995287
0.6,30,600,675,21733295.51358147,92787.26026452205,148.4840924035615,5.874547366066013,0.0042,0.0402,0.9939135961777196
0.6,90,410,485,21400122.69541023,271754.8207787626,138.2356133336748,9.309974399134402,0.0125,0.0636,0.9293962631975085
0.6,120,440,515,22001501.85410995,548110.5099570552,164.574102773372,17.49136690414573,0.0253,0.1197,0.8846751473263471
0.6,150,410,485,22429433.40907406,350180.4354248214,141.4627688461369,11.18987962332288,0.0162,0.07966,0.9471770031533926
